2014-04-02 21:01:56 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:01:58 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:02:03 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:03:22 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:03:24 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:03:40 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:03:42 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-02 21:04:24 - PHP Notice:  Undefined variable: product in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/module/cart.tpl on line 1
2014-04-03 19:31:55 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:02 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:04 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:05 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:22 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:26 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:32:27 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:17 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:18 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:19 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:21 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:39 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:40 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:40 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:41 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:42 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:44 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:44 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
2014-04-03 19:33:45 - PHP Notice:  Use of undefined constant php - assumed 'php' in /home/bronto507/stoemper.com/store/catalog/view/theme/stoemper-theme/template/common/header.tpl on line 144
